station_id,year,h_month,type,level,flow,temperature,month
150190180,2016,3,2,146,12,5,1
150190180,2016,3,3,184,21,8.4,1
150190180,2016,4,1,144,11,5.4,2
150190180,2016,4,2,164,16,7.3,2
150190180,2016,4,3,206,27,9,2
150190180,2016,5,1,154,14,6,3
150190180,2016,5,2,168,17,7.9,3
150190180,2016,5,3,196,24,10.4,3
150190180,2016,6,1,145,11,9.6,4
150190180,2016,6,2,159,15,11,4
150190180,2016,6,3,216,30,13.2,4
150190180,2016,7,1,138,10,10,5
150190180,2016,7,2,149,12,14.5,5
150190180,2016,7,3,205,27,18,5
150190180,2016,8,1,136,9,13.6,6
150190180,2016,8,2,146,12,16.6,6
150190180,2016,8,3,194,24,20.2,6
150190180,2016,9,1,137,9,13.1,7
150190180,2016,9,2,156,14,15.5,7
150190180,2016,9,3,271,49,20.2,7
150190180,2016,10,1,143,11,7.8,8
150190180,2016,10,2,156,14,13.7,8
150190180,2016,10,3,216,30,16.8,8
150190180,2016,11,1,139,10,9.6,9
150190180,2016,11,2,146,12,12.3,9
150190180,2016,11,3,176,19,15,9
150190180,2016,12,1,139,10,4.5,10
150190180,2016,12,2,155,14,9.1,10
150190180,2016,12,3,208,27,12.9,10
150190180,2015,1,1,149,12,3.8,11
150190180,2015,1,2,158,14,7.7,11
150190180,2015,1,3,197,24,10,11
150190180,2015,2,1,148,12,0.8,12
150190180,2015,2,2,158,15,4.7,12
150190180,2015,2,3,181,20,7.3,12
150190180,2015,3,1,151,13,1.6,1
150190180,2015,3,2,170,18,3.5,1
150190180,2015,3,3,211,28,5,1
150190180,2015,4,1,160,15,2,2
150190180,2015,4,2,173,18,3.5,2
150190180,2015,4,3,207,27,5.6,2
150190180,2015,5,1,157,14,3.6,3
150190180,2015,5,2,173,18,5.6,3
150190180,2015,5,3,211,28,8.7,3
150190180,2015,6,1,142,11,4,4
150190180,2015,6,2,164,16,7.9,4
150190180,2015,6,3,199,25,11.7,4
150190180,2015,7,1,143,11,9.3,5
150190180,2015,7,2,155,14,11.3,5
150190180,2015,7,3,203,26,13.1,5
150190180,2015,8,1,139,10,11.9,6
150190180,2015,8,2,148,12,13.6,6
150190180,2015,8,3,191,23,16,6
150190180,2015,9,1,136,9,12.3,7
150190180,2015,9,2,145,11,15.1,7
150190180,2015,9,3,200,25,16.9,7
150190180,2015,10,1,133,9,13,8
150190180,2015,10,2,140,10,15,8
150190180,2015,10,3,167,17,16.9,8
150190180,2015,11,1,134,9,9.4,9
150190180,2015,11,2,140,10,13.3,9
